Career_Year,State,Sex,Cumulative_Earnings
63,Northern Territory,Female,11782146.53
64,Northern Territory,Female,12200610.93
65,Northern Territory,Female,12631629.26
66,Northern Territory,Female,13075578.14
67,Northern Territory,Female,13532845.48
68,Northern Territory,Female,14003830.84
69,Northern Territory,Female,14488945.77
70,Northern Territory,Female,14988614.14
1,Australian Capital Territory,Male,84760
2,Australian Capital Territory,Male,172062.8
3,Australian Capital Territory,Male,261984.684
4,Australian Capital Territory,Male,354604.2245
5,Australian Capital Territory,Male,450002.3513
6,Australian Capital Territory,Male,548262.4218
7,Australian Capital Territory,Male,649470.2944
8,Australian Capital Territory,Male,753714.4033
9,Australian Capital Territory,Male,861085.8354
10,Australian Capital Territory,Male,971678.4104
11,Australian Capital Territory,Male,1085588.763
12,Australian Capital Territory,Male,1202916.426
13,Australian Capital Territory,Male,1323763.918
14,Australian Capital Territory,Male,1448236.836
15,Australian Capital Territory,Male,1576443.941
16,Australian Capital Territory,Male,1708497.259
17,Australian Capital Territory,Male,1844512.177
18,Australian Capital Territory,Male,1984607.542
19,Australian Capital Territory,Male,2128905.769
20,Australian Capital Territory,Male,2277532.942
21,Australian Capital Territory,Male,2430618.93
22,Australian Capital Territory,Male,2588297.498
23,Australian Capital Territory,Male,2750706.423
24,Australian Capital Territory,Male,2917987.615
25,Australian Capital Territory,Male,3090287.244
26,Australian Capital Territory,Male,3267755.861
27,Australian Capital Territory,Male,3450548.537
28,Australian Capital Territory,Male,3638824.993
29,Australian Capital Territory,Male,3832749.743
30,Australian Capital Territory,Male,4032492.235
31,Australian Capital Territory,Male,4238227.002
32,Australian Capital Territory,Male,4450133.812
33,Australian Capital Territory,Male,4668397.827
34,Australian Capital Territory,Male,4893209.762
35,Australian Capital Territory,Male,5124766.054
36,Australian Capital Territory,Male,5363269.036
37,Australian Capital Territory,Male,5608927.107
38,Australian Capital Territory,Male,5861954.92
39,Australian Capital Territory,Male,6122573.568
40,Australian Capital Territory,Male,6391010.775
41,Australian Capital Territory,Male,6667501.098
42,Australian Capital Territory,Male,6952286.131
43,Australian Capital Territory,Male,7245614.715
44,Australian Capital Territory,Male,7547743.157
45,Australian Capital Territory,Male,7858935.451
46,Australian Capital Territory,Male,8179463.515
47,Australian Capital Territory,Male,8509607.42
48,Australian Capital Territory,Male,8849655.643
49,Australian Capital Territory,Male,9199905.312
50,Australian Capital Territory,Male,9560662.472
51,Australian Capital Territory,Male,9932242.346
52,Australian Capital Territory,Male,10314969.62
53,Australian Capital Territory,Male,10709178.7
54,Australian Capital Territory,Male,11115214.07
55,Australian Capital Territory,Male,11533430.49
56,Australian Capital Territory,Male,11964193.4
57,Australian Capital Territory,Male,12407879.2
58,Australian Capital Territory,Male,12864875.58
59,Australian Capital Territory,Male,13335581.85
60,Australian Capital Territory,Male,13820409.3
61,Australian Capital Territory,Male,14319781.58
62,Australian Capital Territory,Male,14834135.03
63,Australian Capital Territory,Male,15363919.08
64,Australian Capital Territory,Male,15909596.65
65,Australian Capital Territory,Male,16471644.55
66,Australian Capital Territory,Male,17050553.89
67,Australian Capital Territory,Male,17646830.51
68,Australian Capital Territory,Male,18260995.42
69,Australian Capital Territory,Male,18893585.28
70,Australian Capital Territory,Male,19545152.84
1,Australian Capital Territory,Female,78499.2
2,Australian Capital Territory,Female,159353.376
3,Australian Capital Territory,Female,242633.1773
4,Australian Capital Territory,Female,328411.3726
5,Australian Capital Territory,Female,416762.9138
6,Australian Capital Territory,Female,507765.0012
7,Australian Capital Territory,Female,601497.1512
8,Australian Capital Territory,Female,698041.2658
9,Australian Capital Territory,Female,797481.7037
10,Australian Capital Territory,Female,899905.3548
11,Australian Capital Territory,Female,1005401.715
12,Australian Capital Territory,Female,1114062.967
13,Australian Capital Territory,Female,1225984.056
14,Australian Capital Territory,Female,1341262.778
15,Australian Capital Territory,Female,1459999.861
16,Australian Capital Territory,Female,1582299.057
17,Australian Capital Territory,Female,1708267.229
18,Australian Capital Territory,Female,1838014.445
19,Australian Capital Territory,Female,1971654.079
20,Australian Capital Territory,Female,2109302.901
21,Australian Capital Territory,Female,2251081.188
22,Australian Capital Territory,Female,2397112.824
23,Australian Capital Territory,Female,2547525.408
24,Australian Capital Territory,Female,2702450.371
25,Australian Capital Territory,Female,2862023.082
26,Australian Capital Territory,Female,3026382.974
27,Australian Capital Territory,Female,3195673.664
28,Australian Capital Territory,Female,3370043.073
29,Australian Capital Territory,Female,3549643.566
30,Australian Capital Territory,Female,3734632.073
31,Australian Capital Territory,Female,3925170.235
32,Australian Capital Territory,Female,4121424.542
33,Australian Capital Territory,Female,4323566.478
34,Australian Capital Territory,Female,4531772.672
35,Australian Capital Territory,Female,4746225.053
36,Australian Capital Territory,Female,4967111.004
37,Australian Capital Territory,Female,5194623.534
38,Australian Capital Territory,Female,5428961.44
39,Australian Capital Territory,Female,5670329.484
40,Australian Capital Territory,Female,5918938.568
41,Australian Capital Territory,Female,6175005.925
42,Australian Capital Territory,Female,6438755.303
43,Australian Capital Territory,Female,6710417.162
44,Australian Capital Territory,Female,6990228.877
45,Australian Capital Territory,Female,7278434.943
46,Australian Capital Territory,Female,7575287.191
47,Australian Capital Territory,Female,7881045.007
48,Australian Capital Territory,Female,8195975.557
49,Australian Capital Territory,Female,8520354.024
50,Australian Capital Territory,Female,8854463.845
51,Australian Capital Territory,Female,9198596.96
52,Australian Capital Territory,Female,9553054.069
53,Australian Capital Territory,Female,9918144.891
54,Australian Capital Territory,Female,10294188.44
55,Australian Capital Territory,Female,10681513.29
56,Australian Capital Territory,Female,11080457.89
57,Australian Capital Territory,Female,11491370.83
58,Australian Capital Territory,Female,11914611.15
59,Australian Capital Territory,Female,12350548.69
60,Australian Capital Territory,Female,12799564.35
61,Australian Capital Territory,Female,13262050.48
62,Australian Capital Territory,Female,13738411.19
63,Australian Capital Territory,Female,14229062.73
64,Australian Capital Territory,Female,14734433.81
65,Australian Capital Territory,Female,15254966.02
66,Australian Capital Territory,Female,15791114.2
67,Australian Capital Territory,Female,16343346.83
68,Australian Capital Territory,Female,16912146.43
69,Australian Capital Territory,Female,17498010.03
70,Australian Capital Territory,Female,18101449.53
1,Total,Male,78000
2,Total,Male,158340
3,Total,Male,241090.2
4,Total,Male,326322.906
5,Total,Male,414112.5932
6,Total,Male,504535.971
7,Total,Male,597672.0501
8,Total,Male,693602.2116
9,Total,Male,792410.278
10,Total,Male,894182.5863
11,Total,Male,999008.0639
12,Total,Male,1106978.306
13,Total,Male,1218187.655
14,Total,Male,1332733.285
15,Total,Male,1450715.283
16,Total,Male,1572236.742
17,Total,Male,1697403.844
18,Total,Male,1826325.959
19,Total,Male,1959115.738
20,Total,Male,2095889.21
21,Total,Male,2236765.886
22,Total,Male,2381868.863
23,Total,Male,2531324.929
24,Total,Male,2685264.677
25,Total,Male,2843822.617
26,Total,Male,3007137.296
27,Total,Male,3175351.414
28,Total,Male,3348611.957
29,Total,Male,3527070.316
30,Total,Male,3710882.425
31,Total,Male,3900208.898
32,Total,Male,4095215.165
33,Total,Male,4296071.62
34,Total,Male,4502953.768
35,Total,Male,4716042.381
36,Total,Male,4935523.653
37,Total,Male,5161589.362
38,Total,Male,5394437.043
39,Total,Male,5634270.155
40,Total,Male,5881298.259
41,Total,Male,6135737.207
42,Total,Male,6397809.323
43,Total,Male,6667743.603
44,Total,Male,6945775.911
45,Total,Male,7232149.188
46,Total,Male,7527113.664
47,Total,Male,7830927.074
48,Total,Male,8143854.886
49,Total,Male,8466170.533
50,Total,Male,8798155.649
51,Total,Male,9140100.318
52,Total,Male,9492303.328
53,Total,Male,9855072.427
54,Total,Male,10228724.6
55,Total,Male,10613586.34
56,Total,Male,11009993.93
57,Total,Male,11418293.75
58,Total,Male,11838842.56
59,Total,Male,12272007.84
60,Total,Male,12718168.07
61,Total,Male,13177713.11
62,Total,Male,13651044.51
63,Total,Male,14138575.84
64,Total,Male,14640733.12
65,Total,Male,15157955.11
66,Total,Male,15690693.76
67,Total,Male,16239414.58
68,Total,Male,16804597.01
69,Total,Male,17386734.92
70,Total,Male,17986336.97
1,Total,Female,59800
2,Total,Female,121394
3,Total,Female,184835.82
4,Total,Female,250180.8946
5,Total,Female,317486.3214
6,Total,Female,386810.9111
7,Total,Female,458215.2384
8,Total,Female,531761.6956
9,Total,Female,607514.5464
10,Total,Female,685539.9828
11,Total,Female,765906.1823
12,Total,Female,848683.3678
13,Total,Female,933943.8688
14,Total,Female,1021762.185
15,Total,Female,1112215.05
16,Total,Female,1205381.502
17,Total,Female,1301342.947
18,Total,Female,1400183.235
19,Total,Female,1501988.732
20,Total,Female,1606848.394
21,Total,Female,1714853.846
22,Total,Female,1826099.462
23,Total,Female,1940682.446
24,Total,Female,2058702.919
25,Total,Female,2180264.006
26,Total,Female,2305471.927
27,Total,Female,2434436.084
28,Total,Female,2567269.167
29,Total,Female,2704087.242
30,Total,Female,2845009.859
31,Total,Female,2990160.155
32,Total,Female,3139664.96
33,Total,Female,3293654.908
34,Total,Female,3452264.556
35,Total,Female,3615632.492
36,Total,Female,3783901.467
37,Total,Female,3957218.511
38,Total,Female,4135735.067
39,Total,Female,4319607.118
40,Total,Female,4508995.332
41,Total,Female,4704065.192
42,Total,Female,4904987.148
43,Total,Female,5111936.762
44,Total,Female,5325094.865
45,Total,Female,5544647.711
46,Total,Female,5770787.142
47,Total,Female,6003710.757
48,Total,Female,6243622.079
49,Total,Female,6490730.742
50,Total,Female,6745252.664
51,Total,Female,7007410.244
52,Total,Female,7277432.551
53,Total,Female,7555555.528
54,Total,Female,7842022.194
55,Total,Female,8137082.859
56,Total,Female,8440995.345
57,Total,Female,8754025.206
58,Total,Female,9076445.962
59,Total,Female,9408539.341
60,Total,Female,9750595.521
61,Total,Female,10102913.39
62,Total,Female,10465800.79
63,Total,Female,10839574.81
64,Total,Female,11224562.06
65,Total,Female,11621098.92
66,Total,Female,12029531.89
67,Total,Female,12450217.84
68,Total,Female,12883524.38
69,Total,Female,13329830.11
70,Total,Female,13789525.01
