Year,State,Sex,Education,Count
Aug-14,Queensland,Female,Graduate Diploma or Certificate,0
Aug-14,Queensland,Female,Bachelor Degree,0
Aug-14,Queensland,Female,Advanced Diploma or Diploma,0
Aug-14,Queensland,Female,Certificate III or IV,0
Aug-14,Queensland,Female,Year 12 or equivalent,0
Aug-14,Queensland,Female,Year 11 or equivalent,0
Aug-14,Queensland,Female,Year 10 or equivalent,0
Aug-14,South Australia,Male,Postgraduate Degree,0
Aug-14,South Australia,Male,Graduate Diploma or Certificate,0
Aug-14,South Australia,Male,Bachelor Degree,0
Aug-14,South Australia,Male,Advanced Diploma or Diploma,0
Aug-14,South Australia,Male,Certificate III or IV,0
Aug-14,South Australia,Male,Year 12 or equivalent,0
Aug-14,South Australia,Male,Year 11 or equivalent,0
Aug-14,South Australia,Male,Year 10 or equivalent,0
Aug-14,South Australia,Female,Postgraduate Degree,0
Aug-14,South Australia,Female,Graduate Diploma or Certificate,0
Aug-14,South Australia,Female,Bachelor Degree,0
Aug-14,South Australia,Female,Advanced Diploma or Diploma,0
Aug-14,South Australia,Female,Certificate III or IV,0
Aug-14,South Australia,Female,Year 12 or equivalent,0
Aug-14,South Australia,Female,Year 11 or equivalent,0
Aug-14,South Australia,Female,Year 10 or equivalent,0
Aug-14,Western Australia,Male,Postgraduate Degree,0
Aug-14,Western Australia,Male,Graduate Diploma or Certificate,0
Aug-14,Western Australia,Male,Bachelor Degree,0
Aug-14,Western Australia,Male,Advanced Diploma or Diploma,0
Aug-14,Western Australia,Male,Certificate III or IV,0
Aug-14,Western Australia,Male,Year 12 or equivalent,0
Aug-14,Western Australia,Male,Year 11 or equivalent,0
Aug-14,Western Australia,Male,Year 10 or equivalent,0
Aug-14,Western Australia,Female,Postgraduate Degree,0
Aug-14,Western Australia,Female,Graduate Diploma or Certificate,0
Aug-14,Western Australia,Female,Bachelor Degree,0
Aug-14,Western Australia,Female,Advanced Diploma or Diploma,0
Aug-14,Western Australia,Female,Certificate III or IV,0
Aug-14,Western Australia,Female,Year 12 or equivalent,0
Aug-14,Western Australia,Female,Year 11 or equivalent,0
