Applicant_Type,Employee_Income_Persons,Employee_Income_Total,Employee_Income_Median,Unincorporated_Business_Income_Persons,Unincorporated_Business_Income_Total,Unincorporated_Business_Income_Median,Investment_Income_Persons,Investment_Income_Total,Investment_Income_Median,Other_Income_Persons,Other_Income_Total,Other_Income_Median,Total_Income_Persons,Total_Income_Total,Total_Income_Median,Year
Humanitarian,21928.0,861867.0,36434.0,8991.0,198441.0,19900.0,12124.0,15438.0,56.0,591.0,8480.0,3293.0,28901.0,1083843.0,33309.0,2015-16
Skilled,283136.0,24532012.0,74941.0,42467.0,1279608.0,11729.0,227187.0,509979.0,134.0,16761.0,179920.0,952.0,316775.0,26506100.0,70755.0,2015-16
Family,220999.0,10825177.0,40076.0,41436.0,884779.0,15064.0,155490.0,574760.0,112.0,14010.0,237487.0,4726.0,270443.0,12519319.0,36467.0,2015-16
Humanitarian,18301.0,717888.0,38421.0,5667.0,97423.0,13485.0,8407.0,6498.0,56.0,425.0,3090.0,3531.0,22857.0,825865.0,33032.0,2015-16
Skilled,219714.0,10581924.0,39517.0,28105.0,608189.0,10884.0,164230.0,481560.0,96.0,9910.0,89322.0,1107.0,253225.0,11762690.0,36692.0,2015-16
Family,33765.0,1066746.0,25439.0,3892.0,74745.0,16735.0,21570.0,110468.0,114.0,2315.0,34637.0,9326.0,40807.0,1280927.0,24000.0,2015-16
Humanitarian,31783.0,988358.0,24969.0,7033.0,123214.0,13811.0,13722.0,13079.0,39.0,426.0,8282.0,2256.0,37236.0,1130556.0,23965.0,2015-16
Skilled,502845.0,35114646.0,57819.0,70574.0,1888375.0,11367.0,391421.0,992546.0,115.0,26675.0,268435.0,1000.0,570003.0,38270109.0,53934.0,2015-16
Family,254759.0,11890540.0,38283.0,45325.0,959669.0,15204.0,177064.0,701012.0,112.0,16322.0,272422.0,5578.0,311251.0,13815422.0,34779.0,2015-16
Humanitarian,50084.0,1706163.0,30000.0,12701.0,220413.0,13634.0,22125.0,19700.0,45.0,855.0,11135.0,2867.0,60090.0,1956101.0,26974.0,2015-16
Skilled,627041.0,52269750.0,69151.0,87215.0,2589937.0,10936.0,483187.0,937977.0,122.0,31049.0,320295.0,802.0,690277.0,56121533.0,65906.0,2015-16
Family,379170.0,18881828.0,40639.0,68653.0,1460242.0,14084.0,265475.0,963636.0,103.0,21770.0,347453.0,3526.0,452814.0,21654052.0,37510.0,2015-16
Humanitarian,36001.0,1434661.0,38447.0,13772.0,278403.0,17325.0,18114.0,20005.0,55.0,926.0,10687.0,3364.0,46740.0,1744351.0,33929.0,2015-16
Skilled,363695.0,17099299.0,39046.0,49201.0,1030401.0,11575.0,262506.0,807175.0,90.0,14958.0,131085.0,1046.0,416318.0,19069339.0,36705.0,2015-16
Family,37779.0,1189530.0,25117.0,4237.0,80840.0,16327.0,24243.0,128310.0,116.0,2785.0,44047.0,9437.0,45687.0,1455904.0,23866.0,2015-16
Humanitarian,36013.0,1133541.0,25240.0,7918.0,140753.0,14127.0,16135.0,15027.0,42.0,521.0,9209.0,2613.0,42256.0,1296576.0,24180.0,2015-16
Skilled,990737.0,69371369.0,57100.0,136419.0,3619610.0,11187.0,745695.0,1743647.0,109.0,46004.0,451972.0,876.0,1106594.0,75189611.0,54320.0,2015-16
Family,416948.0,20071096.0,39338.0,72886.0,1540900.0,14218.0,289713.0,1089208.0,104.0,24555.0,392783.0,4569.0,498502.0,23102418.0,36356.0,2015-16
Humanitarian,72010.0,2569315.0,32180.0,21690.0,418862.0,16000.0,34253.0,34924.0,48.0,1439.0,18965.0,3120.0,88996.0,3041418.0,29305.0,2015-16
Skilled,349748.0,29491156.0,68889.0,50289.0,1431814.0,9348.0,260149.0,448937.0,94.0,15513.0,165305.0,890.0,380623.0,31545623.0,66073.0,2016-17
Family,165487.0,8767263.0,43699.0,30025.0,644765.0,12361.0,114246.0,437976.0,79.0,8603.0,121154.0,2456.0,191888.0,9969159.0,41286.0,2016-17
Humanitarian,17779.0,756923.0,40036.0,9384.0,207865.0,20281.0,9810.0,12762.0,52.0,610.0,12993.0,4705.0,24728.0,991407.0,35615.0,2016-17
Skilled,154377.0,7277870.0,40300.0,23405.0,466867.0,11576.0,104148.0,352488.0,66.0,5597.0,51398.0,1157.0,174966.0,8146569.0,38225.0,2016-17
Family,4592.0,147738.0,24104.0,395.0,6930.0,12247.0,2926.0,15235.0,98.0,481.0,8667.0,10013.0,5503.0,178624.0,23598.0,2016-17
Humanitarian,4667.0,171729.0,30644.0,949.0,20059.0,16303.0,2649.0,2031.0,49.0,104.0,845.0,2017.0,5499.0,194651.0,28395.0,2016-17
Skilled,504123.0,36769021.0,59301.0,73690.0,1896952.0,10128.0,364296.0,803619.0,85.0,21106.0,216277.0,965.0,555588.0,39695137.0,56627.0,2016-17
Family,170077.0,8915143.0,43211.0,30421.0,651840.0,12360.0,117171.0,453194.0,80.0,9092.0,130118.0,2830.0,197385.0,10147133.0,40800.0,2016-17
Humanitarian,22443.0,928270.0,38238.0,10333.0,228424.0,20062.0,12456.0,14983.0,51.0,711.0,14110.0,4488.0,30220.0,1185125.0,34554.0,2016-17
Skilled,292767.0,26007142.0,77625.0,46613.0,1365234.0,10459.0,230742.0,562712.0,102.0,17832.0,209478.0,1165.0,328428.0,28148748.0,73059.0,2016-17
Family,237464.0,11859332.0,41177.0,45242.0,983720.0,14992.0,164059.0,617894.0,93.0,14994.0,228686.0,5015.0,290686.0,13691334.0,37215.0,2016-17
Humanitarian,20070.0,792140.0,38246.0,5915.0,103274.0,13804.0,8346.0,6460.0,46.0,529.0,3625.0,1600.0,24541.0,904880.0,33754.0,2016-17
Skilled,239596.0,11773909.0,40509.0,31428.0,670909.0,10306.0,175141.0,515709.0,73.0,11027.0,104277.0,1294.0,276076.0,13065363.0,37434.0,2016-17
Family,38242.0,1257800.0,27127.0,4591.0,84270.0,15183.0,23952.0,76854.0,96.0,2611.0,36144.0,8726.0,46074.0,1455437.0,25126.0,2016-17
Humanitarian,36702.0,1166185.0,25924.0,6657.0,120945.0,14523.0,14540.0,18248.0,30.0,852.0,8555.0,146.0,41690.0,1310930.0,25163.0,2016-17
Skilled,532362.0,37780752.0,59309.0,78041.0,2038158.0,10387.0,405880.0,1079548.0,88.0,28863.0,313940.0,1212.0,604504.0,41219371.0,55006.0,2016-17
Family,275700.0,13117966.0,39374.0,49840.0,1068117.0,15000.0,188004.0,695101.0,93.0,17610.0,265092.0,5822.0,336766.0,15147420.0,35630.0,2016-17
Humanitarian,56772.0,1958385.0,30463.0,12572.0,224270.0,14188.0,22887.0,23940.0,35.0,1384.0,12329.0,227.0,66228.0,2215070.0,28094.0,2016-17
Skilled,642513.0,55494793.0,72614.0,96905.0,2798021.0,9854.0,490892.0,1015764.0,98.0,33347.0,377329.0,1023.0,709046.0,59686925.0,69085.0,2016-17
Family,402947.0,20623184.0,42147.0,75269.0,1627928.0,13984.0,278305.0,1057217.0,86.0,23603.0,348276.0,3949.0,482572.0,23657860.0,38778.0,2016-17
Humanitarian,37847.0,1549232.0,39074.0,15299.0,311012.0,17916.0,18155.0,18709.0,49.0,1145.0,17056.0,3188.0,49271.0,1895836.0,34838.0,2016-17
Skilled,393973.0,19052319.0,40417.0,54831.0,1136914.0,10884.0,279286.0,869354.0,70.0,16624.0,155136.0,1249.0,451040.0,21213895.0,37761.0,2016-17
Family,42829.0,1405029.0,26809.0,4991.0,91597.0,14960.0,26881.0,91926.0,96.0,3100.0,45072.0,8944.0,51579.0,1633883.0,25000.0,2016-17
Humanitarian,41370.0,1337793.0,26399.0,7608.0,140794.0,14712.0,17188.0,20000.0,32.0,953.0,9128.0,164.0,47186.0,1504890.0,25525.0,2016-17
Skilled,1036487.0,74544028.0,59304.0,151737.0,3935855.0,10256.0,770176.0,1889323.0,87.0,49972.0,533461.0,1096.0,1160089.0,80906277.0,55904.0,2016-17
Family,445781.0,22028690.0,40747.0,80263.0,1718995.0,14039.0,305182.0,1149065.0,87.0,26697.0,393956.0,4775.0,534150.0,25293182.0,37413.0,2016-17
Humanitarian,79213.0,2886402.0,32792.0,22904.0,451958.0,16852.0,35337.0,39412.0,40.0,2095.0,24147.0,931.0,96451.0,3399154.0,30365.0,2016-17
